city;state_id;state_name;county_name;lat;lng
La Prairie;MN;Minnesota;Itasca;47,2302;-93,4912
Hermansville;MI;Michigan;Menominee;45,7093;-87,6079
Clear Lake;MN;Minnesota;Sherburne;45,4464;-93,9986
Paxton;FL;Florida;Walton;30,9746;-86,3099
Condon;OR;Oregon;Gilliam;45,2366;-120,186
Elgin;NE;Nebraska;Antelope;41,9831;-98,0828
Moca;PR;Puerto Rico;Moca;18,3943;-67,1138
San Rafael;NM;New Mexico;Cibola;35,101;-107,8899
Eagle Bend;MN;Minnesota;Todd;46,1643;-95,0341
Aurora;NC;North Carolina;Beaufort;35,303;-76,7889
Lecompte;LA;Louisiana;Rapides;31,0881;-92,4
Lizton;IN;Indiana;Hendricks;39,8837;-86,5416
Lott;TX;Texas;Falls;31,206;-97,0334
Beaver;WV;West Virginia;Raleigh;37,7356;-81,15
Winchester;WI;Wisconsin;Winnebago;44,1982;-88,6599
Danforth;IL;Illinois;Iroquois;40,822;-87,9778
Bruno;WV;West Virginia;Logan;37,688;-81,8737
Sprague;WA;Washington;Lincoln;47,3048;-117,9714
West Warren;MA;Massachusetts;Worcester;42,2168;-72,2366
Cedar Vale;KS;Kansas;Chautauqua;37,1061;-96,5018
Anderson;NJ;New Jersey;Warren;40,7617;-74,9301
Strawn;TX;Texas;Palo Pinto;32,551;-98,4979
Rolfe;IA;Iowa;Pocahontas;42,8129;-94,5313
Belfield;ND;North Dakota;Stark;46,886;-103,1952
Elma;IA;Iowa;Howard;43,2457;-92,4387
Chapin;IL;Illinois;Morgan;39,7669;-90,4027
Lancaster;MO;Missouri;Schuyler;40,5238;-92,5314
Graham;GA;Georgia;Appling;31,8292;-82,503
Olivia Lopez de Gutierrez;TX;Texas;Starr;26,3276;-98,7167
Albion;IA;Iowa;Marshall;42,1125;-92,9886
Millstone;KY;Kentucky;Letcher;37,1638;-82,7495
Reddell;LA;Louisiana;Evangeline;30,6688;-92,4268
Reddick;FL;Florida;Marion;29,3687;-82,1976
Clark;PA;Pennsylvania;Mercer;41,2831;-80,4088
Spring Church;PA;Pennsylvania;Armstrong;40,6062;-79,4889
Deemston;PA;Pennsylvania;Washington;40,0273;-80,0334
Potosi;WI;Wisconsin;Grant;42,6876;-90,7105
Watson;IL;Illinois;Effingham;39,0261;-88,5685
Oriskany Falls;NY;New York;Oneida;42,938;-75,4636
Tuntutuliak;AK;Alaska;Bethel;60,3843;-162,6838
Island;KY;Kentucky;McLean;37,4432;-87,1473
Fort Jones;CA;California;Siskiyou;41,6086;-122,8409
Glen St. Mary;FL;Florida;Baker;30,2752;-82,1604
Goldfield;IA;Iowa;Wright;42,7356;-93,9179
Hartville;MO;Missouri;Wright;37,2502;-92,512
Park Crest;PA;Pennsylvania;Schuylkill;40,8192;-76,0614
Iberia;MO;Missouri;Miller;38,0887;-92,2961
Minto;ND;North Dakota;Walsh;48,2924;-97,373
Happy Valley;NM;New Mexico;Eddy;32,4236;-104,2903
Kaneville;IL;Illinois;Kane;41,8332;-88,5216
Ennis;MT;Montana;Madison;45,3462;-111,7319
Grand Junction;IA;Iowa;Greene;42,033;-94,2369
Haviland;KS;Kansas;Kiowa;37,6173;-99,1059
Haileyville;OK;Oklahoma;Pittsburg;34,8542;-95,5784
Freeport;MI;Michigan;Barry;42,7642;-85,316
Woodland;AL;Alabama;Randolph;33,3756;-85,3974
Convent;LA;Louisiana;St. James;30,0132;-90,8232
Prinsburg;MN;Minnesota;Kandiyohi;44,9349;-95,187
Ganado;AZ;Arizona;Apache;35,7016;-109,5504
